Source Device,Destination Device,Source Interface,Destination Interface,Vendor,Last Update Timestamp,Source Hierarchy Level,Destination Hierarchy Level,Source Device Type,Destination Device Type,Link Type,Speed
MYS-METRO01-CS01,MYS-METRO02-NK01,HundredGigE0/0/2/1,11/1/c2/1,CISCO,02-05-2025 13:01,7,7,Metro,Metro,Fiber,100G
HBL-METRO01-NK01,HBL-METRO02-NK01,10/1/c3/1,6/1/c4/1,NOKIA,16-04-2025 14:45,7,7,Metro,Metro,Fiber,100G
MGR-METRO01-NK01,MGR-METRO02-NK01,11/1/c3/1,6/1/c1/1,NOKIA,05-03-2025 06:01,7,7,Metro,Metro,Fiber,100G
BLR-AGG01-NK01,BLR-METRO01-NK01,6/1/c7/1,2/1/c8/1,NOKIA,05-03-2025 02:29,8,7,Aggregation,Metro,Fiber,10G
BLR-AGG01-NK01,BLR-METRO02-NK01,10/1/c5/1,8/1/c5/1,NOKIA,02-03-2025 05:29,8,7,Aggregation,Metro,Fiber,10G
BLR-AGG02-HW01,BLR-METRO01-NK01,10GE0/3/0,6/1/c6/1,HUAWEI,08-04-2025 00:29,8,7,Aggregation,Metro,Fiber,10G
BLR-AGG02-HW01,BLR-METRO02-NK01,10GE0/4/3,6/1/c6/1,HUAWEI,18-02-2025 09:01,8,7,Aggregation,Metro,Fiber,10G
BLR-AGG03-HW01,BLR-METRO01-NK01,10GE0/5/0,11/1/c5/1,HUAWEI,30-05-2025 15:30,8,7,Aggregation,Metro,Fiber,10G
BLR-AGG03-HW01,BLR-METRO02-NK01,10GE0/8/1,1/1/c5/1,HUAWEI,02-06-2025 02:45,8,7,Aggregation,Metro,Fiber,10G
MYS-AGG01-HW01,MYS-METRO01-CS01,10GE0/1/1,TenGigE0/0/9/0,HUAWEI,08-06-2025 02:29,8,7,Aggregation,Metro,Fiber,10G
MYS-AGG01-HW01,MYS-METRO02-NK01,10GE0/3/2,10/1/c6/1,HUAWEI,09-03-2025 12:01,8,7,Aggregation,Metro,Fiber,10G
MYS-AGG02-HW01,MYS-METRO01-CS01,10GE0/5/0,TenGigE0/0/1/1,HUAWEI,09-06-2025 18:00,8,7,Aggregation,Metro,Fiber,10G
MYS-AGG02-HW01,MYS-METRO02-NK01,10GE0/3/2,8/1/c6/1,HUAWEI,31-03-2025 02:01,8,7,Aggregation,Metro,Fiber,10G
MYS-AGG03-HW01,MYS-METRO01-CS01,10GE0/2/2,TenGigE0/0/7/0,HUAWEI,20-06-2025 17:15,8,7,Aggregation,Metro,Fiber,10G
MYS-AGG03-HW01,MYS-METRO02-NK01,10GE0/4/0,1/1/c6/1,HUAWEI,11-03-2025 09:30,8,7,Aggregation,Metro,Fiber,10G
HBL-AGG01-HW01,HBL-METRO01-NK01,10GE0/3/2,10/1/c8/1,HUAWEI,06-03-2025 01:00,8,7,Aggregation,Metro,Fiber,10G
HBL-AGG01-HW01,HBL-METRO02-NK01,10GE0/5/1,10/1/c7/1,HUAWEI,11-02-2025 23:29,8,7,Aggregation,Metro,Fiber,10G
HBL-AGG02-HW01,HBL-METRO01-NK01,10GE0/1/1,1/1/c5/1,HUAWEI,05-04-2025 18:30,8,7,Aggregation,Metro,Fiber,10G
HBL-AGG02-HW01,HBL-METRO02-NK01,10GE0/2/2,5/1/c5/1,HUAWEI,02-04-2025 06:45,8,7,Aggregation,Metro,Fiber,10G
HBL-AGG03-NK01,HBL-METRO01-NK01,5/1/c8/1,8/1/c6/1,NOKIA,02-03-2025 05:01,8,7,Aggregation,Metro,Fiber,10G
HBL-AGG03-NK01,HBL-METRO02-NK01,2/1/c7/1,11/1/c8/1,NOKIA,21-06-2025 23:01,8,7,Aggregation,Metro,Fiber,10G
MGR-AGG01-HW01,MGR-METRO01-NK01,10GE0/11/3,1/1/c5/1,HUAWEI,01-05-2025 07:01,8,7,Aggregation,Metro,Fiber,10G
MGR-AGG01-HW01,MGR-METRO02-NK01,10GE0/4/1,3/1/c5/1,HUAWEI,18-06-2025 06:29,8,7,Aggregation,Metro,Fiber,10G
MGR-AGG02-NK01,MGR-METRO01-NK01,1/1/c7/1,4/1/c8/1,NOKIA,23-06-2025 17:15,8,7,Aggregation,Metro,Fiber,10G
MGR-AGG02-NK01,MGR-METRO02-NK01,4/1/c7/1,2/1/c5/1,NOKIA,28-01-2025 19:29,8,7,Aggregation,Metro,Fiber,10G
MGR-AGG03-NK01,MGR-METRO01-NK01,6/1/c5/1,9/1/c8/1,NOKIA,28-05-2025 06:15,8,7,Aggregation,Metro,Fiber,10G
MGR-AGG03-NK01,MGR-METRO02-NK01,12/1/c6/1,8/1/c7/1,NOKIA,21-04-2025 02:45,8,7,Aggregation,Metro,Fiber,10G
BLR-ACC01-HW01,BLR-AGG01-NK01,GigabitEthernet0/10/2,1/1/3,HUAWEI,20-06-2025 13:15,9,8,Access,Aggregation,Fiber,1G
BLR-ACC02-HW01,BLR-AGG02-HW01,GigabitEthernet0/8/1,GigabitEthernet0/2/3,HUAWEI,20-06-2025 12:45,9,8,Access,Aggregation,Fiber,1G
BLR-ACC03-NK01,BLR-AGG03-HW01,1/6/1,GigabitEthernet0/8/2,NOKIA,15-03-2025 06:29,9,8,Access,Aggregation,Fiber,1G
BLR-ACC04-ER01,BLR-AGG01-NK01,ge-0/7/1,1/7/4,ERICSSON,13-02-2025 21:00,9,8,Access,Aggregation,Fiber,1G
BLR-ACC05-ER01,BLR-AGG02-HW01,ge-0/10/2,GigabitEthernet0/10/0,ERICSSON,02-03-2025 21:15,9,8,Access,Aggregation,Fiber,1G
BLR-ACC06-ER01,BLR-AGG03-HW01,ge-0/2/0,GigabitEthernet0/3/3,ERICSSON,06-06-2025 02:29,9,8,Access,Aggregation,Fiber,1G
MYS-ACC01-HW01,MYS-AGG01-HW01,GigabitEthernet0/11/3,GigabitEthernet0/11/3,HUAWEI,13-04-2025 07:01,9,8,Access,Aggregation,Fiber,1G
MYS-ACC02-HW01,MYS-AGG02-HW01,GigabitEthernet0/6/1,GigabitEthernet0/3/3,HUAWEI,13-01-2025 17:01,9,8,Access,Aggregation,Fiber,1G
MYS-ACC03-ER01,MYS-AGG03-HW01,ge-0/2/2,GigabitEthernet0/7/3,ERICSSON,06-06-2025 23:30,9,8,Access,Aggregation,Fiber,1G
MYS-ACC04-HW01,MYS-AGG01-HW01,GigabitEthernet0/7/3,GigabitEthernet0/2/3,HUAWEI,08-03-2025 07:45,9,8,Access,Aggregation,Fiber,1G
MYS-ACC05-HW01,MYS-AGG02-HW01,GigabitEthernet0/7/1,GigabitEthernet0/10/2,HUAWEI,23-04-2025 02:45,9,8,Access,Aggregation,Fiber,1G
MYS-ACC06-ER01,MYS-AGG03-HW01,ge-0/4/2,GigabitEthernet0/5/0,ERICSSON,05-02-2025 04:01,9,8,Access,Aggregation,Fiber,1G
HBL-ACC01-HW01,HBL-AGG01-HW01,GigabitEthernet0/11/0,GigabitEthernet0/3/3,HUAWEI,15-04-2025 10:30,9,8,Access,Aggregation,Fiber,1G
HBL-ACC02-ER01,HBL-AGG02-HW01,ge-0/6/3,GigabitEthernet0/3/0,ERICSSON,28-05-2025 12:29,9,8,Access,Aggregation,Fiber,1G
HBL-ACC03-ER01,HBL-AGG03-NK01,ge-0/4/3,1/6/2,ERICSSON,05-05-2025 07:15,9,8,Access,Aggregation,Fiber,1G
HBL-ACC04-NK01,HBL-AGG01-HW01,1/5/4,GigabitEthernet0/6/1,NOKIA,30-04-2025 04:30,9,8,Access,Aggregation,Fiber,1G
HBL-ACC05-ER01,HBL-AGG02-HW01,ge-0/9/0,GigabitEthernet0/9/0,ERICSSON,14-06-2025 13:01,9,8,Access,Aggregation,Fiber,1G
HBL-ACC06-HW01,HBL-AGG03-NK01,GigabitEthernet0/6/2,1/4/2,HUAWEI,27-04-2025 10:15,9,8,Access,Aggregation,Fiber,1G
MGR-ACC01-NK01,MGR-AGG01-HW01,1/6/1,GigabitEthernet0/4/3,NOKIA,05-01-2025 23:30,9,8,Access,Aggregation,Fiber,1G
MGR-ACC02-ER01,MGR-AGG02-NK01,ge-0/3/0,1/10/1,ERICSSON,08-01-2025 07:01,9,8,Access,Aggregation,Fiber,1G
MGR-ACC03-NK01,MGR-AGG03-NK01,1/3/4,1/2/1,NOKIA,25-05-2025 06:29,9,8,Access,Aggregation,Fiber,1G
MGR-ACC04-HW01,MGR-AGG01-HW01,GigabitEthernet0/2/0,GigabitEthernet0/9/1,HUAWEI,21-03-2025 03:30,9,8,Access,Aggregation,Fiber,1G
MGR-ACC05-ER01,MGR-AGG02-NK01,ge-0/9/3,1/10/4,ERICSSON,20-02-2025 02:30,9,8,Access,Aggregation,Fiber,1G
MGR-ACC06-HW01,MGR-AGG03-NK01,GigabitEthernet0/11/0,1/4/1,HUAWEI,30-03-2025 17:29,9,8,Access,Aggregation,Fiber,1G
BLR-ACC01-HW01,BLR-MWRLY01-ER01,Radio0/8/1,mw-0/10/0,HUAWEI,18-04-2025 15:00,9,9,Access,Access,MW,1G
BLR-MWRLY01-ER01,BLR-AGG01-NK01,mw-0/10/0,mw-1/7/2,ERICSSON,15-02-2025 23:30,9,8,Access,Aggregation,MW,1G
BLR-ACC02-HW01,BLR-MWRLY02-ER01,Radio0/7/1,mw-0/7/1,HUAWEI,24-03-2025 07:00,9,9,Access,Access,MW,1G
BLR-MWRLY02-ER01,BLR-AGG02-HW01,mw-0/3/1,Radio0/7/1,ERICSSON,08-01-2025 15:15,9,8,Access,Aggregation,MW,1G
MYS-ACC01-HW01,MYS-MWRLY01-ER01,Radio0/3/1,mw-0/5/1,HUAWEI,13-03-2025 19:45,9,9,Access,Access,MW,1G
MYS-MWRLY01-ER01,MYS-AGG01-HW01,mw-0/3/0,Radio0/8/0,ERICSSON,15-04-2025 15:30,9,8,Access,Aggregation,MW,1G
MYS-ACC02-HW01,MYS-MWRLY02-ER01,Radio0/10/1,mw-0/11/1,HUAWEI,05-01-2025 02:15,9,9,Access,Access,MW,1G
MYS-MWRLY02-ER01,MYS-AGG02-HW01,mw-0/11/1,Radio0/3/1,ERICSSON,02-05-2025 17:30,9,8,Access,Aggregation,MW,1G
HBL-ACC01-HW01,HBL-MWRLY01-ER01,Radio0/11/1,mw-0/8/1,HUAWEI,29-06-2025 14:15,9,9,Access,Access,MW,1G
HBL-MWRLY01-ER01,HBL-AGG01-HW01,mw-0/3/0,Radio0/1/1,ERICSSON,31-01-2025 23:30,9,8,Access,Aggregation,MW,1G
HBL-ACC02-ER01,HBL-MWRLY02-ER01,mw-0/3/1,mw-0/11/1,ERICSSON,31-05-2025 16:30,9,9,Access,Access,MW,1G
HBL-MWRLY02-ER01,HBL-AGG02-HW01,mw-0/3/0,Radio0/4/1,ERICSSON,15-02-2025 09:00,9,8,Access,Aggregation,MW,1G
MGR-ACC01-NK01,MGR-MWRLY01-ER01,mw-1/8/2,mw-0/11/0,NOKIA,13-06-2025 15:00,9,9,Access,Access,MW,1G
MGR-MWRLY01-ER01,MGR-AGG01-HW01,mw-0/7/1,Radio0/7/1,ERICSSON,17-02-2025 01:15,9,8,Access,Aggregation,MW,1G
MGR-ACC02-ER01,MGR-MWRLY02-ER01,mw-0/1/1,mw-0/6/0,ERICSSON,28-05-2025 20:45,9,9,Access,Access,MW,1G
MGR-MWRLY02-ER01,MGR-AGG02-NK01,mw-0/2/1,mw-1/9/1,ERICSSON,05-03-2025 03:30,9,8,Access,Aggregation,MW,1G
